Google Scholar Category,Google Scholar Subcategory,Venue,h5 Index,cs_venue,fuzzy_venue_matches,paper_count
"Business, Economics & Management",Accounting & Taxation,journal-of-accounting-research,51,0,SA journal of accounting research,1
"Business, Economics & Management",Accounting & Taxation,meditari-accountancy-research,50,0,Meditari accountancy research,1
"Business, Economics & Management",Accounting & Taxation,accounting-education,36,0,Accounting Education,1
"Business, Economics & Management","Business, Economics & Management (general)",the-journal-of-asian-finance-economics-and-business,90,0,"The Journal of Asian finance, economics and business",7
"Business, Economics & Management","Business, Economics & Management (general)",information-and-management,85,0,Data and Information Management,5
"Business, Economics & Management","Business, Economics & Management (general)",economic-research-ekonomska-istrazivanja,77,0,Ekonomska Istrazivanja-economic Research,49
"Business, Economics & Management","Business, Economics & Management (general)",benchmarking-an-international-journal,77,0,Benchmarking: An International Journal,1
"Business, Economics & Management","Business, Economics & Management (general)",cogent-business-and-management,73,0,Cogent Business & Management,21
"Business, Economics & Management","Business, Economics & Management (general)",ieee-transactions-on-engineering-management,73,0,IEEE Transactions on Engineering Management,5
"Business, Economics & Management","Business, Economics & Management (general)",management-information-systems-quarterly,70,0,Management Information Systems Quarterly,1
"Business, Economics & Management","Business, Economics & Management (general)",international-journal-of-forecasting,70,0,International Journal of Forecasting,31
"Business, Economics & Management","Business, Economics & Management (general)",british-food-journal,68,0,British Food Journal,1
"Business, Economics & Management","Business, Economics & Management (general)",information-systems-research,67,0,Information Systems Research,1
"Business, Economics & Management","Business, Economics & Management (general)",journal-of-public-affairs,62,0,Journal of public affairs,1
"Business, Economics & Management","Business, Economics & Management (general)",electronic-markets,59,0,Electronic Markets,7
"Business, Economics & Management","Business, Economics & Management (general)",european-journal-of-information-systems,58,0,Journal of aerospace information systems,3
"Business, Economics & Management","Business, Economics & Management (general)",financial-innovation,55,0,Financial Innovation,13
"Business, Economics & Management",Development Economics,world-development,115,0,World Development,2
"Business, Economics & Management",Development Economics,journal-of-development-economics,74,0,Journal of Development Economics,1
"Business, Economics & Management",Development Economics,the-journal-of-development-studies,55,0,Journal of Development Studies,1
"Business, Economics & Management",Development Economics,economies,50,0,Economies,5
"Business, Economics & Management",Development Economics,third-world-quarterly,42,0,Third World Quarterly,2
"Business, Economics & Management",Development Economics,development-policy-review,31,0,Development Policy Review,1
"Business, Economics & Management",Development Economics,journal-of-economics-and-development,28,0,Journal of Development Economics,1
"Business, Economics & Management",Economic History,the-economic-history-review,31,0,The Economic History Review,1
"Business, Economics & Management",Economic History,the-journal-of-economic-history,30,0,The Journal of Economic History,1
"Business, Economics & Management",Economic History,accounting-history,16,0,Accounting History,1
"Business, Economics & Management",Economic History,history-of-political-economy,13,0,History of Political Economy,1
"Business, Economics & Management",Economic Policy,applied-economic-perspectives-and-policy,50,0,Applied economic perspectives and policy,1
"Business, Economics & Management",Economic Policy,oxford-review-of-economic-policy,45,0,Oxford Review of Economic Policy,1
"Business, Economics & Management",Economics,american-economic-review,153,0,The American Economic Review,4
"Business, Economics & Management",Economics,journal-of-political-economy,119,0,Journal of Political Economy,2
"Business, Economics & Management",Economics,the-review-of-economic-studies,105,0,The Review of Economic Studies,2
"Business, Economics & Management",Economics,econometrica,91,0,"Econometrica, Econometrics",14
"Business, Economics & Management",Economics,review-of-economics-and-statistics,87,0,The Review of Economics and Statistics,1
"Business, Economics & Management",Economics,the-economic-journal,75,0,The Economic Journal,3
"Business, Economics & Management",Economics,journal-of-development-economics,74,0,Journal of Development Economics,1
"Business, Economics & Management",Economics,journal-of-the-european-economic-association,68,0,Journal of the European Economic Association,1
"Business, Economics & Management",Economics,journal-of-international-economics,64,0,"International Journal of Geoinformatics, International Journal of Social Economics, International journal of genomics, Journal of International Economic Law",16
"Business, Economics & Management",Economics,structural-change-and-economic-dynamics,64,0,Structural Change and Economic Dynamics,1
"Business, Economics & Management",Educational Administration,journal-of-education-policy,42,0,Journal of Education Policy,1
